Data sets for Rarotonga and Aitutaki,,,,,,,,
Surveys of Organisms in Lagoons in 2009 and 2018,,,,,,,,
,,,,,,,,
I.  Mean density of Adult Organisms (+/- 95% Confidence Intervals),,,,,,,,
,,,,,,,,
,,2009 Data ,,,2018 Data,,,95% CI (+/-) for
,,Rarotonga,Aitutaki,,Rarotonga,Aitutaki,,each sampling date
Adult Fish: number per 100 m2 of reef,,,,,,,,
Surgeonfish (herbivores),,250,360,,20,390,,32
Coral Trout (predators of adult fishes),,120,170,,4,40,,21
Spotted Damselfish (eats zooplankton),,520,910,,19,257,,47
Yellow Damselfish (eats zooplankton),,32,36,,90,80,,15
,,,,,,,,
Other Organisms: amount of bottom covered (m2) per 100 m2 of reef area,,,,,,,,
Mounding Corals,,19.5,14.5,,18,15.9,,3.5
Coarse-branching Corals,,2.8,3.2,,0.7,2.4,,0.5
Fine-branching Corals,,2.2,2.5,,0.3,3.2,,0.9
Sea Anemones,,1,1.8,,0.5,0.9,,0.1
Algae,,1.7,0.8,,5.5,0.4,,0.8
